 demo                      SWAT+ 2026-07-30        MODULAR Rev 2026.pfas-coupling-v1.0-38-gbcb882c        
   jday   mon   day    yr   unit  gis_id  name                      sedyld          sedorgn          sedorgp          surqno3          lat3no3         surqsolp             usle          sedminp          tileno3          lchlabp         tilelabp           satexn    plant_cov       mgt_ops                          percn
                                                                       tha             kgha             kgha             kgha             kgha             kgha             tons             kgha             kgha             kgha             kgha             kgha                                                      kgha
   366    12    31  2020       1       1  hru0001                0.122       0.365       0.000       0.000       0.000       0.041      24.634       0.059       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                               0.000
   366    12    31  2020       2       1  hru0002                0.052       0.247       0.000       0.000       0.000       0.043      16.249       0.035       0.000       0.000       0.000       0.000   corn_comm       mgt_08                               0.000
   366    12    31  2020       3       1  hru0003                0.120       0.586       0.000       0.000       0.000       0.062      24.511       0.089       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                               0.000
   366    12    31  2020       4       1  hru0004                0.119       0.624       0.000       0.000       0.000       0.066      24.465       0.094       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                               0.000
   366    12    31  2020       5       1  hru0005                0.119       0.602       0.000       0.000       0.000       0.064      24.465       0.091       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                               0.000
   366    12    31  2020       6       1  hru0006                0.180       0.990       0.000       0.000       0.000       0.068      37.189       0.149       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                               0.000
   366    12    31  2020       7       1  hru0007                0.187       0.571       0.000       0.000       0.000       0.042      37.651       0.093       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                               0.000
   366    12    31  2020       8       1  hru0008                0.157       0.757       0.000       0.000       0.000       0.055      35.084       0.121       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                               0.000
   366    12    31  2020       9       1  hru0009                0.178       0.833       0.000       0.000       0.000       0.058      37.037       0.127       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                               0.000
   366    12    31  2020      10       1  hru0010                0.168       0.793       0.000       0.000       0.000       0.056      36.265       0.121       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                               0.000
   366    12    31  2020      11       1  hru0011                0.146       0.640       0.000       0.000       0.000       0.045      34.454       0.098       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                               0.000
   366    12    31  2020      12       1  hru0012                0.163       0.706       0.000       0.000       0.000       0.050      36.017       0.108       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                               0.000
