 demo                      SWAT+ 2026-07-28        MODULAR Rev 2026.pfas-coupling-v1.0-17-g817dd8c        
  jday   mon   day    yr    unit  gis_id  name            grzn        grzp        lab_min_p   act_sta_p       fertn            fertp            fixn             denit            act_nit_n        act_sta_n        org_lab_p        rsd_nitorg_n     rsd_laborg_p    no3atmo          nh4atmo          nuptake          puptake          gwsoiln          gwsoilp      plant_cov       mgt_ops                       
                                                          kgha        kgha        kgha        kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha       
   366    12    31  2020       1       1  hru0001        0.000       0.000      31.172      24.896            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            1.999            0.795            0.000            0.000       cosy_comm       mgt_01                        
   366    12    31  2020       2       1  hru0002        0.000       0.000      36.128      28.876            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            2.323            0.890            0.000            0.000       corn_comm       mgt_08                        
   366    12    31  2020       3       1  hru0003        0.000       0.000      41.062      32.788            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            2.019            0.802            0.000            0.000       cosy_comm       mgt_01                        
   366    12    31  2020       4       1  hru0004        0.000       0.000      41.154      32.858            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            2.022            0.803            0.000            0.000       cosy_comm       mgt_01                        
   366    12    31  2020       5       1  hru0005        0.000       0.000      42.520      33.953            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            2.027            0.804            0.000            0.000       cosy_comm       mgt_01                        
   366    12    31  2020       6       1  hru0006        0.000       0.000      44.019      35.117            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            2.039            0.808            0.000            0.000       cosy_comm       mgt_01                        
   366    12    31  2020       7       1  hru0007        0.000       0.000      30.434      24.285            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            1.986            0.791            0.000            0.000       cosy_comm       mgt_01                        
   366    12    31  2020       8       1  hru0008        0.000       0.000      33.482      26.706            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            2.144            0.841            0.000            0.000       cosy_comm       mgt_01                        
   366    12    31  2020       9       1  hru0009        0.000       0.000      41.677      33.257            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            2.058            0.814            0.000            0.000       cosy_comm       mgt_01                        
   366    12    31  2020      10       1  hru0010        0.000       0.000      40.384      32.227            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            2.072            0.818            0.000            0.000       cosy_comm       mgt_01                        
   366    12    31  2020      11       1  hru0011        0.000       0.000      46.068      36.787            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            2.374            0.907            0.000            0.000       cosy_comm       mgt_01                        
   366    12    31  2020      12       1  hru0012        0.000       0.000      41.250      32.927            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            0.000            2.114            0.831            0.000            0.000       cosy_comm       mgt_01                        
