 demo                      SWAT+ 2026-07-30        MODULAR Rev 2026.pfas-coupling-v1.0-38-gbcb882c        
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp       strss        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0     lai_max      bm_max     bm_grow       c_gro   plant_cov       mgt_ops                    
                                                             m**2/m**2        kgha        kgha        kgha        degc        ----        ----        ----        ----        ----        ----        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc   m**2/m**2       kg/ha       kg/ha       kg/ha
   366    12    31  2020       1       1  hru0001                1.453     152.851     202.921     121.569      12.839      25.413       0.000      13.610     119.985       0.414       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000   21712.975       1.591       0.668   cosy_comm       mgt_01                        
   366    12    31  2020       2       1  hru0002                1.507     167.706     236.357     109.190      12.835      27.283       0.000      14.513     125.641       0.454       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.295       0.000   24739.039       1.784       0.749   corn_comm       mgt_08                        
   366    12    31  2020       3       1  hru0003                1.454     153.898     205.309     121.976      12.839      25.377       0.000      13.610     119.979       0.416       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000   21930.352       1.604       0.674   cosy_comm       mgt_01                        
   366    12    31  2020       4       1  hru0004                1.454     154.075     205.709     121.804      12.839      25.344       0.000      13.610     119.970       0.413       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000   21966.836       1.606       0.675   cosy_comm       mgt_01                        
   366    12    31  2020       5       1  hru0005                1.454     154.330     206.249     122.079      12.839      25.350       0.000      13.610     119.970       0.414       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000   22017.559       1.609       0.676   cosy_comm       mgt_01                        
   366    12    31  2020       6       1  hru0006                1.454     154.961     207.649     122.132      12.839      25.305       0.000      13.610     119.962       0.414       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000   22150.211       1.617       0.679   cosy_comm       mgt_01                        
   366    12    31  2020       7       1  hru0007                1.453     152.142     201.378     121.430      12.839      25.437       0.000      13.610     119.990       0.414       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000   21569.268       1.582       0.665   cosy_comm       mgt_01                        
   366    12    31  2020       8       1  hru0008                1.457     160.053     219.964     122.904      12.837      24.844       0.000      13.610     119.930       0.417       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000   23264.004       1.683       0.707   cosy_comm       mgt_01                        
   366    12    31  2020       9       1  hru0009                1.455     155.872     209.705     122.419      12.839      25.263       0.000      13.610     119.959       0.414       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000   22342.842       1.629       0.684   cosy_comm       mgt_01                        
   366    12    31  2020      10       1  hru0010                1.456     156.441     210.809     122.413      12.839      25.070       0.000      13.610     119.944       0.414       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000   22467.006       1.636       0.687   cosy_comm       mgt_01                        
   366    12    31  2020      11       1  hru0011                1.461     170.314     246.704     125.442      12.836      24.545       0.000      13.610     119.791       0.411       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000   25539.377       1.819       0.764   cosy_comm       mgt_01                        
   366    12    31  2020      12       1  hru0012                1.458     158.625     216.138     123.045      12.839      24.959       0.000      13.610     119.930       0.412       0.000       0.000       0.000       0.000      19.931       4.912      12.422      18.474       5.555       0.582       0.303       0.000   22930.217       1.664       0.699   cosy_comm       mgt_01                        
