 demo                      SWAT+ 2026-07-28        MODULAR Rev 2026.pfas-coupling-v1.0-17-g817dd8c        
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et     ecanopy      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls     gwsoilq       satex  satex_chan   sw_change     lagsurf     laglatq    lagsatex    wet_evap    wet_oflo    wet_stor   plant_cov       mgt_ops                    
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
   366    12    31  2020       1       1  hru0001              952.607     110.345     109.840      34.678       0.056      34.733       0.000     932.475       0.000     457.519     474.955      34.677      67.644     180.750      39.968      57.644      21.001       0.000       0.000       0.455    1261.918       0.000      11.541       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -3.058       0.176       1.574       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
   366    12    31  2020       2       1  hru0002              952.607     110.345     109.824      27.077       0.299      27.376       0.000     928.267       0.000     470.189     458.078      27.077      65.885     180.750      41.081      64.557      21.001       0.000       0.000       0.455    1261.918       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -3.034       1.042       8.479       0.000       0.000       0.000       0.000   corn_comm       mgt_08                        
   366    12    31  2020       3       1  hru0003              952.607     110.345     109.840      34.359       0.070      34.429       0.000     932.779       0.000     457.854     474.924      34.359      67.572     180.750      39.977      57.843      20.948       0.000       0.000       0.455    1261.918       0.000      11.541       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -3.058       0.174       1.980       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
   366    12    31  2020       4       1  hru0004              952.607     110.345     109.840      33.990       0.058      34.048       0.000     933.160       0.000     458.130     475.029      33.990      67.485     180.750      39.993      58.093      21.019       0.000       0.000       0.455    1261.918       0.000      11.541       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -3.058       0.172       1.635       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
   366    12    31  2020       5       1  hru0005              952.607     110.345     109.840      34.097       0.073      34.169       0.000     933.038       0.000     458.094     474.944      34.096      67.510     180.750      39.987      58.013      20.945       0.000       0.000       0.455    1261.918       0.000      11.541       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -3.058       0.173       2.055       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
   366    12    31  2020       6       1  hru0006              952.607     110.345     109.840      33.661       0.068      33.730       0.000     933.477       0.000     458.462     475.015      33.661      67.410     180.750      40.003      58.363      20.988       0.000       0.000       0.455    1261.918       0.000      11.541       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -3.058       0.171       1.937       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
   366    12    31  2020       7       1  hru0007              952.607     110.345     109.840      34.883       0.050      34.933       0.000     932.275       0.000     457.306     474.969      34.883      67.691     180.750      39.961      57.518      21.026       0.000       0.000       0.455    1261.918       0.000      11.541       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -3.058       0.177       1.417       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
   366    12    31  2020       8       1  hru0008              952.607     110.345     109.840      29.426       0.073      29.499       0.000     937.706       0.000     462.165     475.541      29.426      66.434     180.750      40.107      62.115      21.250       0.000       0.000       0.455    1261.918       0.000      11.541       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -3.055       0.149       2.055       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
   366    12    31  2020       9       1  hru0009              952.607     110.345     109.840      33.318       0.086      33.404       0.000     933.803       0.000     458.815     474.988      33.318      67.334     180.750      40.011      58.642      20.937       0.000       0.000       0.455    1261.918       0.000      11.541       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -3.057       0.169       2.443       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
   366    12    31  2020      10       1  hru0010              952.607     110.345     109.840      31.437       0.067      31.505       0.000     935.701       0.000     460.545     475.156      31.437      66.893     180.750      40.068      60.244      21.072       0.000       0.000       0.455    1261.918       0.000      11.541       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -3.056       0.159       1.900       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
   366    12    31  2020      11       1  hru0011              952.607     110.345     109.840      27.494       0.205      27.699       0.000     939.505       0.000     464.485     475.020      27.494      65.994     180.750      40.107      64.378      20.942       0.000       0.000       0.455    1261.918       0.000      11.541       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -3.055       0.139       5.797       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
   366    12    31  2020      12       1  hru0012              952.607     110.345     109.840      30.557       0.102      30.659       0.000     936.547       0.000     461.504     475.043      30.557      66.688     180.750      40.085      61.059      20.977       0.000       0.000       0.455    1261.918       0.000      11.541       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000       0.000      -3.056       0.155       2.881       0.000       0.000       0.000       0.000   cosy_comm       mgt_01                        
